Year,Foreign Exchange Reserves (USD Billion),Exchange Rate (INR/USD),Reserves in INR (Lakh Crore)
1999,29.05,43.06,1.25
2000,38.04,44.94,1.71
2001,46.44,47.19,2.19
2002,54.14,48.61,2.63
2003,76.12,46.58,3.55
2004,113,45.32,5.12
2005,141.51,44.1,6.24
2006,151.62,45.31,6.87
2007,199.18,41.35,8.24
2008,309.72,43.51,13.47
2009,252.04,48.41,12.19
2010,274.33,45.73,12.55
2011,304.82,46.67,14.22
2012,294.39,53.44,15.73
2013,292.04,58.63,17.11
2014,304.22,61.03,18.57
2015,341.64,64.15,21.91
2016,360.18,67.21,24.2
2017,370,65.12,24.09
2018,412,68.41,28.19
2019,461,70.39,32.45
2020,580,74.13,43.02
2021,633.61,73.93,46.88
2022,563,78.6,44.26
2023,598.89,82.57,49.47
